texto_reclamacao,categoria,empresa,estado,valor_envolvido,tempo_resposta_dias
Produto não corresponde à descrição,Produto Defeituoso,TechMart,PR,1696.5,2.4
Atendente não soube me informar,Atendimento,SuperCompras,RS,24.35,13.4
Cobraram valor a mais na fatura,Cobrança Indevida,EletroMax,RS,432.59,4.5
Fui mal atendido na loja física,Atendimento,TechMart,PE,10.21,13.5
Produto chegou com defeito de fábrica,Produto Defeituoso,SuperCompras,SP,1689.7,1.5
Entregador foi mal educado,Entrega,FastDelivery,BA,537.7,6.4
Produto não foi entregue no prazo,Entrega,TechMart,BA,429.17,1.9
Não recebi o produto comprado,Entrega,TechMart,BA,553.78,1.3
Produto não corresponde à descrição,Produto Defeituoso,TechMart,MG,188.95,1.2
Defeito na tela do celular,Produto Defeituoso,EletroMax,GO,738.84,5.2
Valor diferente do acordado,Cobrança Indevida,MegaStore,BA,396.24,4.2
Fui mal atendido na loja física,Atendimento,EletroMax,SC,76.44,6.0
Atendente não soube me informar,Atendimento,TechMart,GO,76.92,12.9
Funcionário foi grosseiro e mal educado,Atendimento,MegaStore,SP,25.54,6.0
Produto chegou com defeito de fábrica,Produto Defeituoso,TechMart,CE,982.6,13.5
Fui mal atendido na loja física,Atendimento,FastDelivery,GO,11.4,10.2
Não recebi o produto comprado,Entrega,SuperCompras,CE,290.47,6.6
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,GO,227.4,5.0
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,RS,286.93,3.8
Atendimento muito demorado no telefone,Atendimento,EletroMax,MG,67.15,7.0
Cobraram valor a mais na fatura,Cobrança Indevida,FastDelivery,PE,281.13,6.7
Fui mal atendido na loja física,Atendimento,FastDelivery,SC,75.32,6.1
Entregador foi mal educado,Entrega,EletroMax,RJ,113.12,5.1
Produto chegou muito atrasado,Entrega,SuperCompras,MG,146.02,3.1
Não consegui resolver meu problema,Atendimento,EletroMax,SP,50.84,6.7
Cobrança após cancelamento do serviço,Cobrança Indevida,FastDelivery,PE,385.34,2.4
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,PR,88.15,6.3
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,PE,286.44,7.6
Cobrança duplicada no cartão,Cobrança Indevida,MegaStore,RJ,190.58,8.1
Não recebi o produto comprado,Entrega,SuperCompras,CE,676.77,6.0
Atendimento muito demorado no telefone,Atendimento,SuperCompras,PR,36.79,7.2
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,CE,196.79,5.0
Entrega foi feita no endereço errado,Entrega,MegaStore,CE,331.47,3.5
Entregador foi mal educado,Entrega,SuperCompras,SC,158.5,2.1
Defeito na tela do celular,Produto Defeituoso,TechMart,BA,1754.81,8.1
Cobrança após cancelamento do serviço,Cobrança Indevida,SuperCompras,BA,357.41,1.5
Entrega foi feita no endereço errado,Entrega,SuperCompras,MG,237.76,6.0
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,CE,1429.98,12.0
Produto chegou muito atrasado,Entrega,EletroMax,RS,124.23,5.4
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,SP,1216.54,11.3
Cobraram valor a mais na fatura,Cobrança Indevida,FastDelivery,SC,328.43,4.8
Não recebi o produto comprado,Entrega,MegaStore,SC,793.17,5.5
Cobraram valor a mais na fatura,Cobrança Indevida,SuperCompras,PR,108.55,4.3
Não consegui resolver meu problema,Atendimento,EletroMax,SP,58.58,12.1
Atendimento muito demorado no telefone,Atendimento,MegaStore,MG,94.07,5.9
Funcionário foi grosseiro e mal educado,Atendimento,MegaStore,PR,84.19,4.5
Produto veio danificado na entrega,Produto Defeituoso,SuperCompras,PR,1426.74,9.8
Funcionário foi grosseiro e mal educado,Atendimento,MegaStore,SP,78.02,1.1
Defeito na tela do celular,Produto Defeituoso,FastDelivery,PE,1515.18,10.2
Entregador foi mal educado,Entrega,FastDelivery,CE,247.28,2.6
Valor diferente do acordado,Cobrança Indevida,SuperCompras,SC,225.87,8.6
Atendente não soube me informar,Atendimento,TechMart,RS,3.36,2.2
Não consegui resolver meu problema,Atendimento,TechMart,PR,53.24,8.8
Taxa não informada na contratação,Cobrança Indevida,MegaStore,RS,81.43,8.9
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,SuperCompras,GO,557.31,11.2
Fui mal atendido na loja física,Atendimento,SuperCompras,PR,65.42,4.8
Produto não foi entregue no prazo,Entrega,MegaStore,MG,778.44,4.7
Produto veio danificado na entrega,Produto Defeituoso,TechMart,SP,344.93,4.2
Atendimento muito demorado no telefone,Atendimento,TechMart,SP,98.05,5.3
Entrega foi feita no endereço errado,Entrega,MegaStore,PE,639.61,4.3
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,CE,16.58,19.0
Produto não foi entregue no prazo,Entrega,SuperCompras,CE,385.97,3.5
Defeito na tela do celular,Produto Defeituoso,FastDelivery,CE,1957.22,12.1
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,CE,693.92,11.6
Fui mal atendido na loja física,Atendimento,FastDelivery,PE,56.02,15.3
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,TechMart,GO,954.67,13.7
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,MG,255.67,10.2
Produto não corresponde à descrição,Produto Defeituoso,SuperCompras,MG,910.09,3.7
Entrega foi feita no endereço errado,Entrega,FastDelivery,PE,474.75,4.8
Cobraram valor a mais na fatura,Cobrança Indevida,SuperCompras,CE,234.85,6.0
Não consegui resolver meu problema,Atendimento,EletroMax,MG,89.72,4.2
Atendimento muito demorado no telefone,Atendimento,FastDelivery,SP,3.34,7.9
Não recebi o produto comprado,Entrega,MegaStore,PR,369.05,4.7
Não consegui resolver meu problema,Atendimento,TechMart,BA,96.71,8.9
Cobrança após cancelamento do serviço,Cobrança Indevida,EletroMax,RJ,99.66,8.9
Cobrança duplicada no cartão,Cobrança Indevida,MegaStore,PR,288.68,5.7
Defeito na tela do celular,Produto Defeituoso,SuperCompras,CE,204.84,11.2
Defeito na tela do celular,Produto Defeituoso,EletroMax,PE,1647.17,8.6
Valor diferente do acordado,Cobrança Indevida,FastDelivery,PE,246.16,8.4
Produto não foi entregue no prazo,Entrega,EletroMax,GO,410.54,6.0
Entrega foi feita no endereço errado,Entrega,EletroMax,GO,97.13,5.3
Valor diferente do acordado,Cobrança Indevida,SuperCompras,PE,375.04,2.7
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,PR,406.97,8.6
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,RS,374.86,2.0
Valor diferente do acordado,Cobrança Indevida,TechMart,RS,129.05,8.5
Cobrança duplicada no cartão,Cobrança Indevida,FastDelivery,CE,266.07,3.7
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,PE,165.89,6.9
Atendente não soube me informar,Atendimento,FastDelivery,SP,76.61,16.0
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,MegaStore,SP,1754.74,1.0
Cobrança duplicada no cartão,Cobrança Indevida,SuperCompras,GO,202.16,3.0
Produto não corresponde à descrição,Produto Defeituoso,MegaStore,RS,85.1,6.9
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,MG,97.28,16.7
Cobraram valor a mais na fatura,Cobrança Indevida,FastDelivery,RS,491.26,6.6
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,BA,1088.72,9.9
Entregador foi mal educado,Entrega,EletroMax,RS,104.33,2.5
Produto não foi entregue no prazo,Entrega,FastDelivery,PE,664.89,1.4
Produto não corresponde à descrição,Produto Defeituoso,TechMart,RS,175.76,13.3
Atendimento muito demorado no telefone,Atendimento,EletroMax,SC,89.23,4.5
Cobrança após cancelamento do serviço,Cobrança Indevida,TechMart,MG,148.53,8.1
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,RS,479.44,7.8
Produto veio danificado na entrega,Produto Defeituoso,TechMart,PE,1354.94,12.6
Produto não foi entregue no prazo,Entrega,EletroMax,BA,361.43,2.9
Produto não foi entregue no prazo,Entrega,MegaStore,CE,156.92,2.0
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,PE,1420.14,4.3
Valor diferente do acordado,Cobrança Indevida,FastDelivery,RS,204.57,5.4
Atendente não soube me informar,Atendimento,SuperCompras,GO,60.07,15.1
Produto chegou com defeito de fábrica,Produto Defeituoso,SuperCompras,SP,127.54,9.5
Cobrança duplicada no cartão,Cobrança Indevida,FastDelivery,CE,486.34,4.0
Produto não corresponde à descrição,Produto Defeituoso,MegaStore,RS,453.64,8.2
Atendimento muito demorado no telefone,Atendimento,TechMart,GO,3.67,3.1
Fui mal atendido na loja física,Atendimento,EletroMax,SP,21.85,8.5
Atendimento muito demorado no telefone,Atendimento,TechMart,GO,8.71,12.7
Entregador foi mal educado,Entrega,MegaStore,BA,472.58,1.2
Produto chegou muito atrasado,Entrega,MegaStore,SP,330.2,5.4
Entregador foi mal educado,Entrega,EletroMax,SP,664.32,6.7
Fui mal atendido na loja física,Atendimento,TechMart,BA,71.76,16.8
Defeito na tela do celular,Produto Defeituoso,SuperCompras,RJ,273.25,6.4
Valor diferente do acordado,Cobrança Indevida,SuperCompras,PR,78.09,4.8
Produto não foi entregue no prazo,Entrega,TechMart,CE,277.23,5.5
Fui mal atendido na loja física,Atendimento,TechMart,CE,36.19,12.3
Funcionário foi grosseiro e mal educado,Atendimento,MegaStore,SC,11.57,3.9
Valor diferente do acordado,Cobrança Indevida,MegaStore,PR,453.18,1.6
Entrega foi feita no endereço errado,Entrega,TechMart,PE,354.97,2.8
Produto veio danificado na entrega,Produto Defeituoso,SuperCompras,PR,289.86,8.8
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,SC,425.89,7.2
Atendente não soube me informar,Atendimento,MegaStore,BA,54.25,17.4
Atendente não soube me informar,Atendimento,FastDelivery,RJ,38.42,9.6
Produto não foi entregue no prazo,Entrega,MegaStore,CE,314.94,1.2
Produto não foi entregue no prazo,Entrega,SuperCompras,GO,157.53,4.9
Produto chegou com defeito de fábrica,Produto Defeituoso,TechMart,RS,712.55,8.2
Atendente não soube me informar,Atendimento,MegaStore,SP,10.13,17.1
Entrega foi feita no endereço errado,Entrega,FastDelivery,GO,790.79,3.7
Produto não foi entregue no prazo,Entrega,EletroMax,RJ,403.9,1.2
Cobrança duplicada no cartão,Cobrança Indevida,MegaStore,RS,67.67,2.9
Cobrança duplicada no cartão,Cobrança Indevida,SuperCompras,MG,31.21,7.8
Cobrança após cancelamento do serviço,Cobrança Indevida,SuperCompras,PR,421.03,4.3
Entregador foi mal educado,Entrega,MegaStore,BA,371.98,7.0
Produto chegou com defeito de fábrica,Produto Defeituoso,EletroMax,RS,110.33,14.6
Atendente não soube me informar,Atendimento,EletroMax,PR,47.79,11.1
Produto veio danificado na entrega,Produto Defeituoso,MegaStore,BA,908.86,5.2
Entregador foi mal educado,Entrega,MegaStore,CE,74.39,3.1
Entregador foi mal educado,Entrega,FastDelivery,BA,449.52,2.0
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,RJ,254.67,4.6
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,RJ,1265.64,9.0
Não consegui resolver meu problema,Atendimento,EletroMax,BA,39.51,1.7
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,SC,494.11,14.5
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,MegaStore,SC,1090.1,13.2
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,PR,1598.71,4.9
Funcionário foi grosseiro e mal educado,Atendimento,FastDelivery,SC,14.88,9.8
Não recebi o produto comprado,Entrega,FastDelivery,RS,694.93,4.5
Atendente não soube me informar,Atendimento,MegaStore,SP,56.27,9.4
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,MG,297.09,8.8
Não consegui resolver meu problema,Atendimento,SuperCompras,MG,60.21,12.2
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,PE,48.55,1.0
Produto chegou com defeito de fábrica,Produto Defeituoso,TechMart,GO,171.79,13.4
Cobrança após cancelamento do serviço,Cobrança Indevida,EletroMax,BA,29.18,5.3
Produto não corresponde à descrição,Produto Defeituoso,MegaStore,SC,1078.09,9.9
Defeito na tela do celular,Produto Defeituoso,SuperCompras,PE,593.58,3.9
Produto não corresponde à descrição,Produto Defeituoso,MegaStore,RJ,1369.8,12.6
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,RS,420.39,7.7
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,PE,1543.93,12.8
Atendimento muito demorado no telefone,Atendimento,SuperCompras,RS,40.71,2.3
Cobrança duplicada no cartão,Cobrança Indevida,FastDelivery,RJ,22.92,1.9
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,BA,84.21,5.6
Atendente não soube me informar,Atendimento,SuperCompras,RJ,71.01,13.7
Valor diferente do acordado,Cobrança Indevida,SuperCompras,BA,212.63,3.6
Produto chegou muito atrasado,Entrega,EletroMax,BA,396.86,2.4
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,PR,468.52,6.8
Produto chegou com defeito de fábrica,Produto Defeituoso,SuperCompras,CE,1651.79,8.8
Entrega foi feita no endereço errado,Entrega,SuperCompras,RS,263.46,2.7
Atendente não soube me informar,Atendimento,EletroMax,BA,72.07,8.6
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,GO,322.19,1.5
Produto não foi entregue no prazo,Entrega,TechMart,SP,423.57,1.3
Produto não foi entregue no prazo,Entrega,SuperCompras,GO,32.94,2.5
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,PE,752.46,4.8
Taxa não informada na contratação,Cobrança Indevida,FastDelivery,RS,398.69,9.0
Produto não corresponde à descrição,Produto Defeituoso,TechMart,SC,785.77,14.5
Produto chegou com defeito de fábrica,Produto Defeituoso,SuperCompras,BA,1012.94,6.4
Cobraram valor a mais na fatura,Cobrança Indevida,SuperCompras,BA,142.03,8.9
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,SP,1368.41,14.2
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,MG,1286.96,15.0
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,PE,978.14,2.6
Produto chegou muito atrasado,Entrega,FastDelivery,PE,70.31,5.6
Fui mal atendido na loja física,Atendimento,EletroMax,RS,85.03,5.0
Produto não corresponde à descrição,Produto Defeituoso,TechMart,RS,1371.74,9.5
Atendimento muito demorado no telefone,Atendimento,FastDelivery,RJ,73.71,19.5
Entregador foi mal educado,Entrega,FastDelivery,GO,390.48,4.5
Defeito na tela do celular,Produto Defeituoso,MegaStore,MG,1350.39,12.5
Funcionário foi grosseiro e mal educado,Atendimento,EletroMax,PR,68.8,5.6
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,RS,94.88,1.6
Cobraram valor a mais na fatura,Cobrança Indevida,FastDelivery,SC,148.0,7.5
Defeito na tela do celular,Produto Defeituoso,SuperCompras,CE,1371.21,5.4
Produto não foi entregue no prazo,Entrega,FastDelivery,CE,689.99,4.5
Não consegui resolver meu problema,Atendimento,TechMart,RJ,18.17,9.3
Entregador foi mal educado,Entrega,TechMart,SP,599.05,2.3
Defeito na tela do celular,Produto Defeituoso,MegaStore,PR,1310.59,14.6
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,GO,395.94,8.0
Entregador foi mal educado,Entrega,MegaStore,RS,722.58,5.3
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,SuperCompras,BA,1359.7,9.2
Produto não foi entregue no prazo,Entrega,EletroMax,GO,793.32,4.3
Valor diferente do acordado,Cobrança Indevida,TechMart,SP,128.18,2.8
Atendimento muito demorado no telefone,Atendimento,SuperCompras,PE,78.13,12.0
Cobrança após cancelamento do serviço,Cobrança Indevida,EletroMax,GO,325.26,4.5
Produto chegou muito atrasado,Entrega,MegaStore,SP,295.8,6.5
Não recebi o produto comprado,Entrega,TechMart,PE,561.3,5.1
Fui mal atendido na loja física,Atendimento,FastDelivery,RS,23.03,1.8
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,MegaStore,RJ,521.69,8.0
Produto veio danificado na entrega,Produto Defeituoso,SuperCompras,CE,401.6,7.4
Cobrança após cancelamento do serviço,Cobrança Indevida,FastDelivery,SP,85.76,10.0
Não consegui resolver meu problema,Atendimento,FastDelivery,SC,10.89,13.1
Produto chegou muito atrasado,Entrega,SuperCompras,PE,198.72,3.8
Não consegui resolver meu problema,Atendimento,SuperCompras,CE,1.42,16.8
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,RJ,1411.71,6.5
Entrega foi feita no endereço errado,Entrega,SuperCompras,BA,332.45,6.1
Atendente não soube me informar,Atendimento,TechMart,BA,78.13,19.2
Fui mal atendido na loja física,Atendimento,FastDelivery,PE,83.54,15.9
Não recebi o produto comprado,Entrega,SuperCompras,PR,201.0,2.9
Não consegui resolver meu problema,Atendimento,EletroMax,PE,40.28,18.0
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,PE,349.92,14.9
Não consegui resolver meu problema,Atendimento,TechMart,PE,76.1,8.1
Não recebi o produto comprado,Entrega,EletroMax,MG,74.43,3.7
Atendimento muito demorado no telefone,Atendimento,SuperCompras,RS,38.63,11.9
Atendente não soube me informar,Atendimento,TechMart,RJ,90.22,17.7
Não recebi o produto comprado,Entrega,SuperCompras,PE,59.98,1.2
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,EletroMax,PE,1903.4,9.1
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,MG,176.64,8.6
Defeito na tela do celular,Produto Defeituoso,SuperCompras,GO,831.84,11.7
Taxa não informada na contratação,Cobrança Indevida,FastDelivery,RJ,118.25,6.3
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,PE,760.49,5.1
Cobrança após cancelamento do serviço,Cobrança Indevida,TechMart,MG,65.63,8.4
Cobrança após cancelamento do serviço,Cobrança Indevida,FastDelivery,RJ,391.47,4.2
Produto chegou muito atrasado,Entrega,SuperCompras,PE,386.74,1.3
Entregador foi mal educado,Entrega,EletroMax,PR,619.47,1.0
Defeito na tela do celular,Produto Defeituoso,EletroMax,PE,1947.5,4.2
Fui mal atendido na loja física,Atendimento,EletroMax,RS,23.04,1.0
Valor diferente do acordado,Cobrança Indevida,FastDelivery,SC,371.23,6.8
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,BA,1238.78,13.5
Produto chegou com defeito de fábrica,Produto Defeituoso,MegaStore,MG,404.15,6.2
Valor diferente do acordado,Cobrança Indevida,EletroMax,SC,303.51,6.9
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,RJ,394.7,6.3
Taxa não informada na contratação,Cobrança Indevida,TechMart,SP,308.75,3.7
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,PR,249.91,8.2
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,SP,1869.2,12.6
Produto chegou muito atrasado,Entrega,TechMart,BA,126.35,6.1
Produto chegou com defeito de fábrica,Produto Defeituoso,SuperCompras,PE,430.72,5.8
Atendente não soube me informar,Atendimento,FastDelivery,PR,85.65,14.3
Entregador foi mal educado,Entrega,TechMart,SP,323.0,2.0
Não recebi o produto comprado,Entrega,SuperCompras,SP,49.4,6.0
Entrega foi feita no endereço errado,Entrega,TechMart,RJ,367.0,2.4
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,SC,282.29,9.7
Cobrança após cancelamento do serviço,Cobrança Indevida,TechMart,PR,364.86,8.8
Produto não corresponde à descrição,Produto Defeituoso,MegaStore,CE,1627.14,10.5
Entrega foi feita no endereço errado,Entrega,MegaStore,PE,643.44,2.5
Produto chegou muito atrasado,Entrega,SuperCompras,BA,727.69,1.1
Não recebi o produto comprado,Entrega,TechMart,SP,45.24,3.3
Produto não corresponde à descrição,Produto Defeituoso,FastDelivery,SP,1873.24,7.0
Entregador foi mal educado,Entrega,MegaStore,SP,250.03,3.6
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,RJ,118.59,4.4
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,SC,1480.3,2.6
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,GO,495.37,3.9
Taxa não informada na contratação,Cobrança Indevida,TechMart,PE,25.51,5.1
Atendimento muito demorado no telefone,Atendimento,SuperCompras,SC,54.78,19.6
Produto veio danificado na entrega,Produto Defeituoso,SuperCompras,CE,1185.26,3.9
Defeito na tela do celular,Produto Defeituoso,MegaStore,MG,450.4,7.8
Entrega foi feita no endereço errado,Entrega,FastDelivery,GO,535.7,6.8
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,SC,52.8,4.9
Não recebi o produto comprado,Entrega,MegaStore,RS,100.91,4.3
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,MegaStore,SC,539.24,10.5
Produto chegou com defeito de fábrica,Produto Defeituoso,MegaStore,RS,536.57,1.0
Produto não foi entregue no prazo,Entrega,MegaStore,CE,375.8,4.7
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,GO,302.04,7.3
Produto veio danificado na entrega,Produto Defeituoso,FastDelivery,SP,80.02,9.2
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,MG,1917.28,6.6
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,TechMart,CE,66.22,7.1
Valor diferente do acordado,Cobrança Indevida,MegaStore,PR,458.98,4.9
Valor diferente do acordado,Cobrança Indevida,EletroMax,PE,230.42,10.0
Produto não foi entregue no prazo,Entrega,MegaStore,PE,546.42,5.2
Produto chegou com defeito de fábrica,Produto Defeituoso,EletroMax,BA,147.54,13.8
Produto não foi entregue no prazo,Entrega,TechMart,PR,89.4,6.5
Cobrança após cancelamento do serviço,Cobrança Indevida,SuperCompras,MG,123.37,6.4
Entrega foi feita no endereço errado,Entrega,SuperCompras,RJ,649.92,5.9
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,CE,266.53,3.3
Cobrança duplicada no cartão,Cobrança Indevida,SuperCompras,SP,461.97,6.3
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,SP,1795.92,10.3
Produto chegou muito atrasado,Entrega,EletroMax,RJ,515.29,2.5
Entrega foi feita no endereço errado,Entrega,FastDelivery,RJ,529.98,6.6
Entrega foi feita no endereço errado,Entrega,SuperCompras,SC,634.53,4.6
Defeito na tela do celular,Produto Defeituoso,EletroMax,SC,105.21,3.9
Produto não corresponde à descrição,Produto Defeituoso,SuperCompras,PE,557.46,3.2
Entregador foi mal educado,Entrega,EletroMax,SP,172.95,5.0
Cobrança duplicada no cartão,Cobrança Indevida,EletroMax,RS,234.18,8.3
Defeito na tela do celular,Produto Defeituoso,FastDelivery,GO,1129.09,4.6
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,GO,1589.12,5.3
Entregador foi mal educado,Entrega,FastDelivery,CE,317.61,2.6
Produto não foi entregue no prazo,Entrega,TechMart,PR,725.74,1.5
Produto não corresponde à descrição,Produto Defeituoso,TechMart,SC,1599.25,13.4
Produto chegou muito atrasado,Entrega,TechMart,SC,257.88,3.8
Cobrança após cancelamento do serviço,Cobrança Indevida,FastDelivery,BA,226.21,7.7
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,EletroMax,SC,1589.39,5.2
Atendimento muito demorado no telefone,Atendimento,TechMart,CE,88.17,3.3
Valor diferente do acordado,Cobrança Indevida,MegaStore,RS,76.84,2.9
Cobrança duplicada no cartão,Cobrança Indevida,FastDelivery,GO,315.82,6.0
Cobraram valor a mais na fatura,Cobrança Indevida,TechMart,MG,345.91,4.7
Atendimento muito demorado no telefone,Atendimento,EletroMax,RJ,32.76,11.4
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,EletroMax,SP,1016.62,14.1
Taxa não informada na contratação,Cobrança Indevida,TechMart,BA,74.86,7.9
Taxa não informada na contratação,Cobrança Indevida,TechMart,BA,221.25,1.2
Produto não corresponde à descrição,Produto Defeituoso,TechMart,MG,1143.32,9.8
Entrega foi feita no endereço errado,Entrega,FastDelivery,PE,593.11,5.2
Produto não foi entregue no prazo,Entrega,EletroMax,PE,703.11,2.2
Produto chegou muito atrasado,Entrega,TechMart,BA,377.5,2.1
Atendimento muito demorado no telefone,Atendimento,EletroMax,MG,1.34,8.8
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,MegaStore,RJ,180.6,13.3
Produto não foi entregue no prazo,Entrega,FastDelivery,RS,529.2,1.4
Fui mal atendido na loja física,Atendimento,EletroMax,SC,43.35,19.9
Taxa não informada na contratação,Cobrança Indevida,EletroMax,MG,125.65,4.2
Produto chegou muito atrasado,Entrega,FastDelivery,RS,64.9,3.1
Produto chegou muito atrasado,Entrega,MegaStore,RJ,539.5,3.9
Não recebi o produto comprado,Entrega,SuperCompras,GO,452.28,1.4
Produto não foi entregue no prazo,Entrega,SuperCompras,CE,632.11,5.5
Taxa não informada na contratação,Cobrança Indevida,FastDelivery,SP,27.02,2.9
Entregador foi mal educado,Entrega,MegaStore,BA,540.11,3.1
Fui mal atendido na loja física,Atendimento,SuperCompras,SP,25.82,12.5
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,CE,1178.67,9.9
Atendente não soube me informar,Atendimento,SuperCompras,SC,38.62,12.2
Produto veio danificado na entrega,Produto Defeituoso,MegaStore,RJ,878.46,13.7
Produto chegou muito atrasado,Entrega,TechMart,CE,566.04,3.3
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,SC,53.33,13.1
Cobrança após cancelamento do serviço,Cobrança Indevida,TechMart,PR,353.43,3.0
Entrega foi feita no endereço errado,Entrega,EletroMax,RS,385.37,6.9
Não recebi o produto comprado,Entrega,SuperCompras,PR,605.84,1.9
Produto não foi entregue no prazo,Entrega,EletroMax,SC,55.93,6.3
Cobrança após cancelamento do serviço,Cobrança Indevida,FastDelivery,GO,431.9,8.1
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,BA,1992.51,12.6
Não consegui resolver meu problema,Atendimento,TechMart,SC,70.68,19.4
Valor diferente do acordado,Cobrança Indevida,FastDelivery,CE,22.74,5.2
Cobrança após cancelamento do serviço,Cobrança Indevida,EletroMax,SP,481.36,9.0
Produto não corresponde à descrição,Produto Defeituoso,MegaStore,PR,502.44,1.2
Funcionário foi grosseiro e mal educado,Atendimento,TechMart,RS,3.89,16.9
Taxa não informada na contratação,Cobrança Indevida,MegaStore,MG,319.81,8.8
Não consegui resolver meu problema,Atendimento,TechMart,RS,99.07,15.4
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,PE,129.86,6.4
Produto chegou muito atrasado,Entrega,SuperCompras,BA,506.27,4.8
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,RJ,1316.54,12.3
Produto não foi entregue no prazo,Entrega,MegaStore,RJ,309.07,6.2
Produto chegou muito atrasado,Entrega,EletroMax,PR,71.88,4.9
Produto chegou com defeito de fábrica,Produto Defeituoso,SuperCompras,SC,354.6,9.9
Produto não foi entregue no prazo,Entrega,FastDelivery,SC,380.48,5.0
Aparelho parou de funcionar após poucos dias,Produto Defeituoso,FastDelivery,RJ,1569.25,9.5
Valor diferente do acordado,Cobrança Indevida,FastDelivery,SC,277.25,5.4
Fui mal atendido na loja física,Atendimento,EletroMax,RJ,57.26,6.3
Entrega foi feita no endereço errado,Entrega,MegaStore,GO,103.08,4.6
Entregador foi mal educado,Entrega,SuperCompras,SP,497.27,6.3
Produto chegou muito atrasado,Entrega,EletroMax,GO,181.42,5.4
Produto não foi entregue no prazo,Entrega,MegaStore,MG,53.12,6.4
Cobraram valor a mais na fatura,Cobrança Indevida,EletroMax,RS,186.8,4.9
Produto não foi entregue no prazo,Entrega,TechMart,CE,752.23,1.5
Taxa não informada na contratação,Cobrança Indevida,SuperCompras,BA,121.18,3.1
